name,position
mw. mr. Evelyna C. Wever-Croes,Minister-President
mw. mr. Evelyna C. Wever-Croes,"Minister van Algemene Zaken, Innovatie, Overheidsorganisatie, Infrastructuur en Ruimtelijke ordening"
dhr. mr. Geoffrey B. Wever,"Minister van Economische Zaken, Communicatie, Duurzame Ontwikkeling"
dhr. Ursell M. Arends,"Minister van Integriteit, Natuur, Transport en Ouderenzorg"
mw. Xiomara J. Maduro,Minister van Minister van FinanciÃ«n en Cultuur
dhr. Rocco G. Tjon,Minister van Justitie en Sociale Zaken
dhr. Glenbert F. Croes,"Minister van Arbeid, Integratie en Energie"
dhr. Danguillaume P. Oduber,Minister van Volksgezondheid en Toerisme
dhr. Endy J. H. Croes,Minister van Onderwijs en Sport
dhr. Guillfred F. Besaril,Gevolmachtigde Minister van Aruba in Nederland
mw. Grace Mary Koolman,Secretaris Ministerraad
